color-name-text,color-name,hex-code
mdl-color-text--red,mdl-color--red,#f44336
mdl-color-text--red-50,mdl-color--red-50,#ffebee
mdl-color-text--red-100,mdl-color--red-100,#ffcdd2
mdl-color-text--red-200,mdl-color--red-200,#ef9a9a
mdl-color-text--red-300,mdl-color--red-300,#e57373
mdl-color-text--red-400,mdl-color--red-400,#ef5350
mdl-color-text--red-500,mdl-color--red-500,#f44336
mdl-color-text--red-600,mdl-color--red-600,#e53935
mdl-color-text--red-700,mdl-color--red-700,#d32f2f
mdl-color-text--red-800,mdl-color--red-800,#c62828
mdl-color-text--red-900,mdl-color--red-900,#b71c1c
mdl-color-text--red-A100,mdl-color--red-A100,#ff8a80
mdl-color-text--red-A200,mdl-color--red-A200,#ff5252
mdl-color-text--red-A400,mdl-color--red-A400,#ff1744
mdl-color-text--red-A700,mdl-color--red-A700,#d50000
mdl-color-text--pink,mdl-color--pink,#e91e63
mdl-color-text--pink-50,mdl-color--pink-50,#fce4ec
mdl-color-text--pink-100,mdl-color--pink-100,#f8bbd0
mdl-color-text--pink-200,mdl-color--pink-200,#f48fb1
mdl-color-text--pink-300,mdl-color--pink-300,#f06292
mdl-color-text--pink-400,mdl-color--pink-400,#ec407a
mdl-color-text--pink-500,mdl-color--pink-500,#e91e63
mdl-color-text--pink-600,mdl-color--pink-600,#d81b60
mdl-color-text--pink-700,mdl-color--pink-700,#c2185b
mdl-color-text--pink-800,mdl-color--pink-800,#ad1457
mdl-color-text--pink-900,mdl-color--pink-900,#880e4f
mdl-color-text--pink-A100,mdl-color--pink-A100,#ff80ab
mdl-color-text--pink-A200,mdl-color--pink-A200,#ff4081
mdl-color-text--pink-A400,mdl-color--pink-A400,#f50057
mdl-color-text--pink-A700,mdl-color--pink-A700,#c51162
mdl-color-text--purple,mdl-color--purple,#9c27b0
mdl-color-text--purple-50,mdl-color--purple-50,#f3e5f5
mdl-color-text--purple-100,mdl-color--purple-100,#e1bee7
mdl-color-text--purple-200,mdl-color--purple-200,#ce93d8
mdl-color-text--purple-300,mdl-color--purple-300,#ba68c8
mdl-color-text--purple-400,mdl-color--purple-400,#ab47bc
mdl-color-text--purple-500,mdl-color--purple-500,#9c27b0
mdl-color-text--purple-600,mdl-color--purple-600,#8e24aa
mdl-color-text--purple-700,mdl-color--purple-700,#7b1fa2
mdl-color-text--purple-800,mdl-color--purple-800,#6a1b9a
mdl-color-text--purple-900,mdl-color--purple-900,#4a148c
